"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"runAs";"objectId";"operation";"before";"after";"changedFields";"revision";"component";"realm"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-4816";"2023-06-11T21:22:21.904Z";"AM-SESSION-CREATED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-4810";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""c568e142680cb31f01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"c568e142680cb31f01";"CREATE";;;;;"Session";"/"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-4829";"2023-06-11T21:22:21.925Z";"AM-SESSION-EVENT_URL_ADDED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-4810";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""c568e142680cb31f01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"c568e142680cb31f01";"UPDATE";;;;;"Session";"/"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-5576";"2023-06-11T21:24:10.261Z";"AM-IDREPO-CHANGE";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-5549";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"id=plain-client,ou=agentonly,o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";"{}";"{""idTokenEncryptionMethod"":[""A128CBC-HS256""],""com.forgerock.openam.oauth2provider.clientType"":[""Confidential""],""com.forgerock.openam.oauth2provider.accessToken"":[""""],""com.forgerock.openam.oauth2provider.sectorIdentifierURI"":[""""],""com.forgerock.openam.oauth2provider.claims"":[""[0]=""],""com.forgerock.openam.oauth2provider.jwks"":[""""],""isConsentImplied"":[""false""],""com.forgerock.openam.oauth2provider.jwtTokenLifeTime"":[""0""],""idTokenEncryptionAlgorithm"":[""RSA1_5""],""userpassword"":""********"",""com.forgerock.openam.oauth2provider.contacts"":[""[0]=""],""com.forgerock.openam.oauth2provider.clientSessionURI"":[""""],""com.forgerock.openam.oauth2provider.scopes"":[""[0]=""],""com.forgerock.openam.oauth2provider.responseTypes"":[""[0]=code"",""[6]=code token id_token"",""[4]=token id_token"",""[2]=id_token"",""[3]=code token"",""[1]=token"",""[5]=code id_token""],""com.forgerock.openam.oauth2provider.authorizationCodeLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.description"":[""[0]=""],""com.forgerock.openam.oauth2provider.accessTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.defaultMaxAgeEnabled"":[""false""],""com.forgerock.openam.oauth2provider.subjectType"":[""Public""],""agentgroup"":[""""],""com.forgerock.openam.oauth2provider.postLogoutRedirectURI"":[""[0]=""],""com.forgerock.openam.oauth2provider.refreshTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.defaultScopes"":[""[0]=""],""com.forgerock.openam.oauth2provider.name"":[""[0]=""],""idTokenEncryptionEnabled"":[""false""],""com.forgerock.openam.oauth2provider.redirectionURIs"":[""[0]=""],""com.forgerock.openam.oauth2provider.idTokenSignedResponseAlg"":[""HS256""],""com.forgerock.openam.oauth2provider.clientName"":[""[0]=""],""com.forgerock.openam.oauth2provider.tokenEndPointAuthMethod"":[""client_secret_basic""],""com.forgerock.openam.oauth2provider.defaultMaxAge"":[""600""],""idTokenPublicEncryptionKey"":[""""],""sunIdentityServerDeviceStatus"":[""Active""],""com.forgerock.openam.oauth2provider.publicKeyLocation"":[""jwks_uri""],""com.forgerock.openam.oauth2provider.jwksURI"":[""http://openam.example.com:7070/openam/oauth2/Users/connect/jwk_uri""],""com.forgerock.openam.oauth2provider.clientJwtPublicKey"":[""""]}";;;;"o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-5777";"2023-06-11T21:24:33.563Z";"AM-IDREPO-CHANGE";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-5766";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"id=jacobo,ou=user,o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"CREATE";"{}";"{""uid"":[""jacobo""],""inetuserstatus"":[""Active""],""givenname"":[""jacobo""],""cn"":[""Jacobo Gon""],""sn"":[""gon""],""userpassword"":""********"",""username"":[""jacobo""]}";;;;"o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-6325";"2023-06-11T21:26:21.972Z";"AM-IDREPO-CHANGE";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-5916";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"id=plain-client,ou=agentonly,o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";"{}";"{""com.forgerock.openam.oauth2provider.accessToken"":[],""com.forgerock.openam.oauth2provider.accessTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.authorizationCodeLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.claims"":[""[0]=""],""com.forgerock.openam.oauth2provider.clientJwtPublicKey"":[],""com.forgerock.openam.oauth2provider.clientName"":[""[0]=""],""com.forgerock.openam.oauth2provider.clientSessionURI"":[],""com.forgerock.openam.oauth2provider.clientType"":[""Confidential""],""com.forgerock.openam.oauth2provider.contacts"":[""[0]=""],""com.forgerock.openam.oauth2provider.defaultMaxAge"":[""600""],""com.forgerock.openam.oauth2provider.defaultMaxAgeEnabled"":[""false""],""com.forgerock.openam.oauth2provider.defaultScopes"":[""[0]=""],""com.forgerock.openam.oauth2provider.description"":[""[0]=""],""com.forgerock.openam.oauth2provider.idTokenSignedResponseAlg"":[""HS256""],""com.forgerock.openam.oauth2provider.jwks"":[],""com.forgerock.openam.oauth2provider.jwksURI"":[""http://openam.example.com:7070/openam/oauth2/Users/connect/jwk_uri""],""com.forgerock.openam.oauth2provider.jwtTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.name"":[""[0]=""],""com.forgerock.openam.oauth2provider.postLogoutRedirectURI"":[""[0]=""],""com.forgerock.openam.oauth2provider.publicKeyLocation"":[""jwks_uri""],""com.forgerock.openam.oauth2provider.redirectionURIs"":[""[0]=http://domain1.example.com/callback""],""com.forgerock.openam.oauth2provider.refreshTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.responseTypes"":[""[0]=code"",""[6]=code token id_token"",""[4]=token id_token"",""[2]=id_token"",""[3]=code token"",""[1]=token"",""[5]=code id_token""],""com.forgerock.openam.oauth2provider.scopes"":[""[0]=""],""com.forgerock.openam.oauth2provider.sectorIdentifierURI"":[],""com.forgerock.openam.oauth2provider.subjectType"":[""Public""],""com.forgerock.openam.oauth2provider.tokenEndPointAuthMethod"":[""client_secret_basic""],""idTokenEncryptionAlgorithm"":[""RSA1_5""],""idTokenEncryptionEnabled"":[""false""],""idTokenEncryptionMethod"":[""A128CBC-HS256""],""idTokenPublicEncryptionKey"":[],""isConsentImplied"":[""false""],""sunIdentityServerDeviceStatus"":[""Active""]}";;;;"o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-6427";"2023-06-11T21:26:48.538Z";"AM-IDREPO-CHANGE";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-6416";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"id=plain-client,ou=agentonly,o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";"{}";"{""com.forgerock.openam.oauth2provider.accessToken"":[],""com.forgerock.openam.oauth2provider.accessTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.authorizationCodeLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.claims"":[""[0]=""],""com.forgerock.openam.oauth2provider.clientJwtPublicKey"":[],""com.forgerock.openam.oauth2provider.clientName"":[""[0]=""],""com.forgerock.openam.oauth2provider.clientSessionURI"":[],""com.forgerock.openam.oauth2provider.clientType"":[""Confidential""],""com.forgerock.openam.oauth2provider.contacts"":[""[0]=""],""com.forgerock.openam.oauth2provider.defaultMaxAge"":[""600""],""com.forgerock.openam.oauth2provider.defaultMaxAgeEnabled"":[""false""],""com.forgerock.openam.oauth2provider.defaultScopes"":[""[0]=""],""com.forgerock.openam.oauth2provider.description"":[""[0]=""],""com.forgerock.openam.oauth2provider.idTokenSignedResponseAlg"":[""RS256""],""com.forgerock.openam.oauth2provider.jwks"":[],""com.forgerock.openam.oauth2provider.jwksURI"":[""http://openam.example.com:7070/openam/oauth2/Users/connect/jwk_uri""],""com.forgerock.openam.oauth2provider.jwtTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.name"":[""[0]=""],""com.forgerock.openam.oauth2provider.postLogoutRedirectURI"":[""[0]=""],""com.forgerock.openam.oauth2provider.publicKeyLocation"":[""jwks_uri""],""com.forgerock.openam.oauth2provider.redirectionURIs"":[""[0]=http://domain1.example.com/callback""],""com.forgerock.openam.oauth2provider.refreshTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.responseTypes"":[""[0]=code"",""[6]=code token id_token"",""[4]=token id_token"",""[2]=id_token"",""[3]=code token"",""[1]=token"",""[5]=code id_token""],""com.forgerock.openam.oauth2provider.scopes"":[""[2]=email"",""[0]=openid"",""[1]=profile""],""com.forgerock.openam.oauth2provider.sectorIdentifierURI"":[],""com.forgerock.openam.oauth2provider.subjectType"":[""Public""],""com.forgerock.openam.oauth2provider.tokenEndPointAuthMethod"":[""client_secret_basic""],""idTokenEncryptionAlgorithm"":[""RSA1_5""],""idTokenEncryptionEnabled"":[""false""],""idTokenEncryptionMethod"":[""A128CBC-HS256""],""idTokenPublicEncryptionKey"":[],""isConsentImplied"":[""false""],""sunIdentityServerDeviceStatus"":[""Active""]}";;;;"o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-6468";"2023-06-11T21:26:51.441Z";"AM-IDREPO-CHANGE";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-6462";;;"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"id=plain-client,ou=agentonly,o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"UPDATE";"{}";"{""com.forgerock.openam.oauth2provider.accessToken"":[],""com.forgerock.openam.oauth2provider.accessTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.authorizationCodeLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.claims"":[""[0]=""],""com.forgerock.openam.oauth2provider.clientJwtPublicKey"":[],""com.forgerock.openam.oauth2provider.clientName"":[""[0]=""],""com.forgerock.openam.oauth2provider.clientSessionURI"":[],""com.forgerock.openam.oauth2provider.clientType"":[""Confidential""],""com.forgerock.openam.oauth2provider.contacts"":[""[0]=""],""com.forgerock.openam.oauth2provider.defaultMaxAge"":[""600""],""com.forgerock.openam.oauth2provider.defaultMaxAgeEnabled"":[""false""],""com.forgerock.openam.oauth2provider.defaultScopes"":[""[0]=""],""com.forgerock.openam.oauth2provider.description"":[""[0]=""],""com.forgerock.openam.oauth2provider.idTokenSignedResponseAlg"":[""RS256""],""com.forgerock.openam.oauth2provider.jwks"":[],""com.forgerock.openam.oauth2provider.jwksURI"":[""http://openam.example.com:7070/openam/oauth2/Users/connect/jwk_uri""],""com.forgerock.openam.oauth2provider.jwtTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.name"":[""[0]=""],""com.forgerock.openam.oauth2provider.postLogoutRedirectURI"":[""[0]=""],""com.forgerock.openam.oauth2provider.publicKeyLocation"":[""jwks_uri""],""com.forgerock.openam.oauth2provider.redirectionURIs"":[""[0]=http://domain1.example.com/callback""],""com.forgerock.openam.oauth2provider.refreshTokenLifeTime"":[""0""],""com.forgerock.openam.oauth2provider.responseTypes"":[""[0]=code"",""[6]=code token id_token"",""[4]=token id_token"",""[2]=id_token"",""[3]=code token"",""[1]=token"",""[5]=code id_token""],""com.forgerock.openam.oauth2provider.scopes"":[""[2]=email"",""[0]=openid"",""[1]=profile""],""com.forgerock.openam.oauth2provider.sectorIdentifierURI"":[],""com.forgerock.openam.oauth2provider.subjectType"":[""Public""],""com.forgerock.openam.oauth2provider.tokenEndPointAuthMethod"":[""client_secret_basic""],""idTokenEncryptionAlgorithm"":[""RSA1_5""],""idTokenEncryptionEnabled"":[""false""],""idTokenEncryptionMethod"":[""A128CBC-HS256""],""idTokenPublicEncryptionKey"":[],""isConsentImplied"":[""false""],""sunIdentityServerDeviceStatus"":[""Active""]}";;;;"o=Users,ou=services,dc=openam,dc=openidentityplatform,dc=org"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7536";"2023-06-11T21:31:05.599Z";"AM-SESSION-CREATED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7508";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"[""8f2dc1d781e572c701""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"8f2dc1d781e572c701";"CREATE";;;;;"Session";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-14025";"2023-06-11T21:56:48.529Z";"AM-SESSION-IDLE_TIMED_OUT";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-13";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""c568e142680cb31f01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"c568e142680cb31f01";"DELETE";;;;;"Session";"/"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-14027";"2023-06-11T21:56:48.529Z";"AM-SESSION-DESTROYED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-13";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""c568e142680cb31f01""]";"id=dsameuser,ou=user,dc=openam,dc=openidentityplatform,dc=org";"c568e142680cb31f01";"DELETE";;;;;"Session";"/"
