"_id";"timestamp";"eventName";"transactionId";"userId";"trackingIds";"result";"principal";"context";"entries";"component";"realm"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-4814";"2023-06-11T21:22:21.897Z";"AM-LOGIN-MODULE-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-4810";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""c568e142680cb31f01""]";"SUCCESSFUL";"[""amadmin""]";;"[{""moduleId"":""DataStore"",""info"":{""authControlFlag"":""REQUIRED"",""moduleClass"":""DataStore"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-4820";"2023-06-11T21:22:21.906Z";"AM-LOGIN-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-4810";"id=amadmin,ou=user,dc=openam,dc=openidentityplatform,dc=org";"[""c568e142680cb31f01""]";"SUCCESSFUL";"[""amadmin""]";;"[{""moduleId"":""DataStore"",""info"":{""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7476";"2023-06-11T21:31:00.216Z";"AM-LOGIN-MODULE-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7470";;"[""d6cc47cbef5a8b6b01""]";"FAILED";"[""amadmin""]";;"[{""moduleId"":""DataStore"",""info"":{""authControlFlag"":""REQUIRED"",""moduleClass"":""DataStore"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7486";"2023-06-11T21:31:00.260Z";"AM-LOGIN-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7470";;"[""d6cc47cbef5a8b6b01""]";"FAILED";"[""amadmin""]";;"[{""moduleId"":""DataStore"",""info"":{""failureReason"":""LOGIN_FAILED"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7518";"2023-06-11T21:31:05.581Z";"AM-LOGIN-MODULE-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7508";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";"[""8f2dc1d781e572c701""]";"SUCCESSFUL";"[""jacobo""]";;"[{""moduleId"":""DataStore"",""info"":{""authControlFlag"":""REQUIRED"",""moduleClass"":""DataStore"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7546";"2023-06-11T21:31:05.623Z";"AM-LOGIN-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-7508";"id=jacobo,ou=user,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""jacobo""]";;"[{""moduleId"":""DataStore"",""info"":{""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-18156";"2023-06-11T22:13:20.908Z";"AM-LOGIN-MODULE-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-18150";;"[""a8a6d0e206743a8401""]";"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-18170";"2023-06-11T22:13:20.915Z";"AM-LOGIN-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-18150";"id=plain-client,ou=agent,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23124";"2023-06-11T22:33:48.785Z";"AM-LOGIN-MODULE-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23118";;"[""ef1123c49b9423ce01""]";"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""authControlFlag"":""REQUIRED"",""moduleClass"":""Application"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23138";"2023-06-11T22:33:48.792Z";"AM-LOGIN-COMPLETED";"6b4bb103-04f3-4b9c-a56f-965fb4369b4a-23118";"id=plain-client,ou=agent,o=users,ou=services,dc=openam,dc=openidentityplatform,dc=org";;"SUCCESSFUL";"[""plain-client""]";;"[{""moduleId"":""Application"",""info"":{""authIndex"":""module_instance"",""ipAddress"":""172.29.112.1"",""authLevel"":""0""}}]";"Authentication";"/users"
