time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2023-06-11 21:20:32.268 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,9, , , , , , , , , ,3,3, , , , ,1,5, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,13714300928,57,57,57,57, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1686518431931,,, , , , , , , , , ,3145728,1377,9,9,6,9, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,2105344,3,1389,5, , , , , , ,12,294,1211188224, , , , , , , ,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-11 21:20:33.987 UTC, , , , , , , , , ,125,3193717,47864, , ,4, ,126, , , , , , , , , ,4,4, , , , ,2,4, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,1427,13714300928,57,57,57,57, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1686518431931,,, , , , , , , , , ,3145728,8787, , , , , , , , , ,2,26, ,3, , , , , , , , , , , ,8192,2,7387,26, , , , , , ,1,78,632392192, , , , , , , ,93, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18, , , ,47, , , , , , , , , , 
2023-06-11 21:20:34.082 UTC, , , , , , , , , ,125,3182189,34800,1536, ,4, ,58,4,0.07, , , , , , , ,4,4, ,2, ,2,2,4, ,50,38, , , , , , , , , , , , , ,13413,2, ,8931, , , , ,13460,13714153472,54,54,54,54, , , , , ,1,106, , , , , , , , , , , , , , , , , , , , , , , , , ,13460,1686518434024,,, , , , , , , , , ,3145728,13413, , , , , , ,47, , ,3, , ,3, , ,47,1,4096,1, , , , , ,21023673,60, , , , , , , , ,13,372,751929856, , , , , , , ,64, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6, , , , , , , , , , , 
2023-06-11 21:20:34.090 UTC, , , , , , , , , ,125,3192845,46992, , ,4, ,35, , , , , , , , , ,4,4, , , ,2,2,4, ,23,23, , , , , , , , , , , , , ,13413,2, ,8931, , , , ,13460,13714153472,54,54,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13460,1686518434024,,, , , , , , , , , ,3145728,13413, , , , , , ,24, , , , , ,3, , ,24,1, , , , , , , ,2400,23, , , , , , , , , , ,754027008, , , , , , , ,46, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,12, , , , , , , , , , , 
2023-06-11 21:20:34.474 UTC, , , , , , , , , ,125,2114197,16920, , ,3, ,25,3,0.12, , , , , , , ,3,3, ,2, ,2,1,4, ,23,12, , , , , , , , , , , , , ,13413,2, ,8931, , , , ,13460,13714145280,54,54,54,54, , , , , ,2,106, , , , , , , , , , , , , , , , , , , , , , , , , ,13460,1686518434450,,, , , , , , , , , ,2097150,13413, , , , , , ,20, , ,2, , ,3, , ,20, ,2048,1, , , , , ,117456,33, , , , , , ,2,245,13,372,937912056, , , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-11 21:20:34.741 UTC, , , , , , , , , ,589,2197541,99800, , ,13, ,280, , , , , , , , , ,13,13, , , ,3,9,15, ,183,49, , , , , , , , , , , , , ,13413,2, ,8931, , , , ,13460,13714145280,54,54,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13460,1686518434450,,, , , , , , , , , ,2097150,29023,9,9,7,9, , ,51, , ,3, , ,3,9, ,51,1, , , , , , , ,14921,54,15644,32, , , , , , , , ,973563640, , , , , , , ,461, , , ,2, , , , , , , , , , , , , , , , , , , , , , , , , , ,39, , ,18,18,18, , , , , , , , , 
2023-06-11 21:20:34.831 UTC, , , , , , , , , ,125,3202757,54664,2240, ,8, ,99,8,0.08, , , , , , , ,8,8, ,2, ,5,4,10, ,80,57, , , , , , , , , , , , , ,32212,3, ,29221, , , , ,32259,13714059264,37,37,37,37, , , , , ,1,303, , , , , , , , , , , , , , , , , , , , , , , , , ,32259,1686518434777,,, , , , , , , , , ,3145728,32212, , , , , , ,75, , ,3, , ,3, , ,75,1,4096,1, , , , , ,21058782,87, , , , , , ,2,245,13,372,1082615544, , , , , , , ,108, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,8,13, , , , , , , , , , , 
2023-06-11 21:20:41.859 UTC, , , , , , , , , ,589,3264005,117688, , ,13, ,380,5,0.01, , , , , , , ,13,13, , , ,8,8,15, ,59,9, , , , , , , , , , , , , ,32212,3, ,29221, , , , ,32259,13714059264,37,37,37,37, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,32259,1686518434777,,, , , , , , , , , ,3145728,45669, , , , , , ,19, , ,2,47, ,3, , ,19,1, , , , , , , ,50079,21,13438,47, , , , , , , , ,1411868408, , , , , , , ,302, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,39, ,36,78,91,15, , , , , , , , , 
2023-06-11 21:20:42.163 UTC, , , , , , , , , ,125,3177085,31152,80, ,4,1,61,4,0.07, , , , , , , ,4,4, ,2,1,3,2,5, ,54,23, , , , , , , , , , , , , ,53875,4, ,45814, , , , ,53923,13713248256,44,44,44,44, , , , , ,1,455, , , , , , , , , , , , , , , , , , , , , , , , , ,53923,1686518442108,,, , , , , , , , , ,3145728,53875, , , , , , ,34, , ,2, , ,3, , ,34, ,4096,1, , , ,1, ,21027412,46, , , , , , ,2,245,13,372,1646749432, , , , , , , ,43, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2023-06-11 21:20:42.191 UTC, , , , , , , , , ,125,3247277,101424, , ,8, ,216,4,0.02, , , , , , , ,8,8, , , ,5,3,11, ,162,117, , , , , , , , , , , , , ,53875,4, ,45814, , , , ,53923,13713248256,44,44,44,44, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,53923,1686518442108,,, , , , , , , , , ,3145728,53875, , , , , , ,125, , ,1, , ,3, , ,125,1, , , , , , , ,49753,126, , , , , , , , , , ,1648846584, , , , , , , ,245, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,48,18,35, , , , , , , , , , 
